fran_id,pts,opp_fran,opp_pts,game_location,date
Bucks,109,Spurs,107,A,2017-01-10
Celtics,106,Raptors,114,A,2017-01-10
Cavaliers,92,Jazz,100,A,2017-01-10
Bulls,99,Wizards,101,A,2017-01-10
Wizards,108,Celtics,117,A,2017-01-11
Magic,96,Clippers,105,A,2017-01-11
Rockets,105,Timberwolves,119,A,2017-01-11
Grizzlies,95,Thunder,103,A,2017-01-11
Knicks,97,Sixers,98,A,2017-01-11
Cavaliers,86,Trailblazers,102,A,2017-01-11
Pelicans,104,Nets,95,A,2017-01-12
Pacers,112,Nuggets,140,A,2017-01-12
Pistons,107,Warriors,127,A,2017-01-12
Bulls,89,Knicks,104,A,2017-01-12
Mavericks,113,Suns,108,A,2017-01-12
Lakers,94,Spurs,134,A,2017-01-12
Celtics,103,Hawks,101,A,2017-01-13
Grizzlies,110,Rockets,105,A,2017-01-13
