Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Thu, Dec 3, 2015",7:30 pm,Denver Nuggets,106,Toronto Raptors,105
"Thu, Dec 3, 2015",9:00 pm,Orlando Magic,103,Utah Jazz,94
"Fri, Dec 4, 2015",8:00 pm,Los Angeles Lakers,87,Atlanta Hawks,100
"Fri, Dec 4, 2015",8:30 pm,Houston Rockets,100,Dallas Mavericks,96
"Fri, Dec 4, 2015",7:30 pm,Milwaukee Bucks,95,Detroit Pistons,102
"Fri, Dec 4, 2015",9:30 pm,Cleveland Cavaliers,108,New Orleans Pelicans,114
"Fri, Dec 4, 2015",7:00 pm,Brooklyn Nets,91,New York Knicks,108
"Fri, Dec 4, 2015",7:00 pm,Phoenix Suns,106,Washington Wizards,109
"Sat, Dec 5, 2015",8:00 pm,Charlotte Hornets,102,Chicago Bulls,96
"Sat, Dec 5, 2015",8:00 pm,Sacramento Kings,113,Houston Rockets,120
"Sat, Dec 5, 2015",10:30 pm,Orlando Magic,101,Los Angeles Clippers,103
"Sat, Dec 5, 2015",8:00 pm,Cleveland Cavaliers,84,Miami Heat,99
"Sat, Dec 5, 2015",8:30 pm,New York Knicks,91,Milwaukee Bucks,106
"Sat, Dec 5, 2015",8:00 pm,Portland Trail Blazers,109,Minnesota Timberwolves,103
"Sat, Dec 5, 2015",1:00 pm,Denver Nuggets,108,Philadelphia 76ers,105
"Sat, Dec 5, 2015",8:30 pm,Boston Celtics,105,San Antonio Spurs,108
"Sat, Dec 5, 2015",5:00 pm,Golden State Warriors,112,Toronto Raptors,109
"Sat, Dec 5, 2015",9:00 pm,Indiana Pacers,119,Utah Jazz,122
"Sun, Dec 6, 2015",6:00 pm,Golden State Warriors,114,Brooklyn Nets,98
"Sun, Dec 6, 2015",6:00 pm,Los Angeles Lakers,91,Detroit Pistons,111
"Sun, Dec 6, 2015",3:30 pm,Phoenix Suns,93,Memphis Grizzlies,95
