Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Sat, Nov 12, 2016",7:00 pm,Boston Celtics,105,Indiana Pacers,99
"Sat, Nov 12, 2016",8:00 pm,Utah Jazz,102,Miami Heat,91
"Sat, Nov 12, 2016",8:30 pm,Memphis Grizzlies,96,Milwaukee Bucks,106
"Sat, Nov 12, 2016",8:00 pm,Los Angeles Clippers,119,Minnesota Timberwolves,105
"Sat, Nov 12, 2016",7:00 pm,Los Angeles Lakers,126,New Orleans Pelicans,99
"Sat, Nov 12, 2016",9:00 pm,Brooklyn Nets,122,Phoenix Suns,104
"Sat, Nov 12, 2016",7:30 pm,New York Knicks,107,Toronto Raptors,118
"Sun, Nov 13, 2016",3:30 pm,Charlotte Hornets,93,Cleveland Cavaliers,100
"Sun, Nov 13, 2016",8:00 pm,Phoenix Suns,120,Golden State Warriors,133
"Sun, Nov 13, 2016",7:00 pm,Los Angeles Lakers,99,Minnesota Timberwolves,125
"Sun, Nov 13, 2016",7:00 pm,Orlando Magic,119,Oklahoma City Thunder,117
"Sun, Nov 13, 2016",9:00 pm,Denver Nuggets,105,Portland Trail Blazers,112
"Mon, Nov 14, 2016",7:30 pm,Oklahoma City Thunder,88,Detroit Pistons,104
"Mon, Nov 14, 2016",8:00 pm,Philadelphia 76ers,88,Houston Rockets,115
"Mon, Nov 14, 2016",7:00 pm,Orlando Magic,69,Indiana Pacers,88
"Mon, Nov 14, 2016",10:30 pm,Brooklyn Nets,95,Los Angeles Clippers,127
"Mon, Nov 14, 2016",8:00 pm,Boston Celtics,105,New Orleans Pelicans,106
"Mon, Nov 14, 2016",7:30 pm,Dallas Mavericks,77,New York Knicks,93
"Mon, Nov 14, 2016",8:30 pm,Miami Heat,90,San Antonio Spurs,94
"Mon, Nov 14, 2016",9:00 pm,Memphis Grizzlies,102,Utah Jazz,96
"Tue, Nov 15, 2016",7:00 pm,Toronto Raptors,117,Cleveland Cavaliers,121
"Tue, Nov 15, 2016",10:30 pm,Brooklyn Nets,118,Los Angeles Lakers,125
"Tue, Nov 15, 2016",7:30 pm,Atlanta Hawks,93,Miami Heat,90
"Tue, Nov 15, 2016",8:00 pm,Charlotte Hornets,115,Minnesota Timberwolves,108
"Tue, Nov 15, 2016",10:00 pm,Chicago Bulls,113,Portland Trail Blazers,88
"Wed, Nov 16, 2016",7:30 pm,Milwaukee Bucks,100,Atlanta Hawks,107
"Wed, Nov 16, 2016",7:30 pm,Dallas Mavericks,83,Boston Celtics,90
"Wed, Nov 16, 2016",9:00 pm,Phoenix Suns,104,Denver Nuggets,120
"Wed, Nov 16, 2016",7:00 pm,Cleveland Cavaliers,93,Indiana Pacers,103
"Wed, Nov 16, 2016",10:30 pm,Memphis Grizzlies,111,Los Angeles Clippers,107
"Wed, Nov 16, 2016",7:30 pm,Detroit Pistons,102,New York Knicks,105
"Wed, Nov 16, 2016",8:00 pm,Houston Rockets,103,Oklahoma City Thunder,105
"Wed, Nov 16, 2016",7:00 pm,New Orleans Pelicans,82,Orlando Magic,89
"Wed, Nov 16, 2016",7:00 pm,Washington Wizards,102,Philadelphia 76ers,109
"Wed, Nov 16, 2016",10:30 pm,San Antonio Spurs,110,Sacramento Kings,105
"Wed, Nov 16, 2016",8:00 pm,Golden State Warriors,127,Toronto Raptors,121
"Thu, Nov 17, 2016",8:00 pm,Portland Trail Blazers,109,Houston Rockets,126
"Thu, Nov 17, 2016",7:30 pm,Milwaukee Bucks,73,Miami Heat,96
"Thu, Nov 17, 2016",8:00 pm,Philadelphia 76ers,86,Minnesota Timberwolves,110
"Thu, Nov 17, 2016",10:30 pm,Chicago Bulls,85,Utah Jazz,77
"Thu, Nov 17, 2016",7:00 pm,New York Knicks,112,Washington Wizards,119
"Fri, Nov 18, 2016",8:00 pm,Golden State Warriors,104,Boston Celtics,88
"Fri, Nov 18, 2016",7:00 pm,Atlanta Hawks,96,Charlotte Hornets,100
"Fri, Nov 18, 2016",7:30 pm,Detroit Pistons,81,Cleveland Cavaliers,104
"Fri, Nov 18, 2016",8:30 pm,Memphis Grizzlies,80,Dallas Mavericks,64
"Fri, Nov 18, 2016",9:00 pm,Toronto Raptors,113,Denver Nuggets,111
"Fri, Nov 18, 2016",7:00 pm,Phoenix Suns,116,Indiana Pacers,96
"Fri, Nov 18, 2016",10:30 pm,San Antonio Spurs,116,Los Angeles Lakers,107
"Fri, Nov 18, 2016",8:00 pm,Portland Trail Blazers,101,New Orleans Pelicans,113
"Fri, Nov 18, 2016",8:00 pm,Brooklyn Nets,105,Oklahoma City Thunder,124
"Fri, Nov 18, 2016",10:30 pm,Los Angeles Clippers,121,Sacramento Kings,115
"Sat, Nov 19, 2016",7:00 pm,Boston Celtics,94,Detroit Pistons,92
"Sat, Nov 19, 2016",5:00 pm,Utah Jazz,102,Houston Rockets,111
"Sat, Nov 19, 2016",10:30 pm,Chicago Bulls,95,Los Angeles Clippers,102
"Sat, Nov 19, 2016",8:00 pm,Minnesota Timberwolves,71,Memphis Grizzlies,93
"Sat, Nov 19, 2016",8:30 pm,Golden State Warriors,124,Milwaukee Bucks,121
"Sat, Nov 19, 2016",7:00 pm,Charlotte Hornets,116,New Orleans Pelicans,121
"Sat, Nov 19, 2016",7:00 pm,Dallas Mavericks,87,Orlando Magic,95
"Sat, Nov 19, 2016",7:30 pm,Phoenix Suns,105,Philadelphia 76ers,120
"Sat, Nov 19, 2016",7:00 pm,Miami Heat,114,Washington Wizards,111
"Sun, Nov 20, 2016",3:30 pm,Portland Trail Blazers,129,Brooklyn Nets,109
"Sun, Nov 20, 2016",9:00 pm,Utah Jazz,91,Denver Nuggets,105
"Sun, Nov 20, 2016",9:30 pm,Chicago Bulls,118,Los Angeles Lakers,110
"Sun, Nov 20, 2016",12:00 pm,Atlanta Hawks,94,New York Knicks,104
"Sun, Nov 20, 2016",7:00 pm,Indiana Pacers,115,Oklahoma City Thunder,111
"Sun, Nov 20, 2016",9:00 pm,Toronto Raptors,99,Sacramento Kings,102
"Mon, Nov 21, 2016",7:00 pm,Memphis Grizzlies,105,Charlotte Hornets,90
"Mon, Nov 21, 2016",7:30 pm,Houston Rockets,99,Detroit Pistons,96
"Mon, Nov 21, 2016",7:00 pm,Golden State Warriors,120,Indiana Pacers,83
"Mon, Nov 21, 2016",10:30 pm,Toronto Raptors,115,Los Angeles Clippers,123
"Mon, Nov 21, 2016",8:00 pm,Orlando Magic,89,Milwaukee Bucks,93
"Mon, Nov 21, 2016",8:00 pm,Boston Celtics,99,Minnesota Timberwolves,93
"Mon, Nov 21, 2016",7:00 pm,Miami Heat,94,Philadelphia 76ers,101
"Mon, Nov 21, 2016",8:30 pm,Dallas Mavericks,91,San Antonio Spurs,96
"Mon, Nov 21, 2016",7:00 pm,Phoenix Suns,101,Washington Wizards,106
"Tue, Nov 22, 2016",7:30 pm,New Orleans Pelicans,112,Atlanta Hawks,94
"Tue, Nov 22, 2016",9:00 pm,Chicago Bulls,107,Denver Nuggets,110
"Tue, Nov 22, 2016",10:30 pm,Oklahoma City Thunder,109,Los Angeles Lakers,111
"Tue, Nov 22, 2016",7:30 pm,Portland Trail Blazers,103,New York Knicks,107
"Wed, Nov 23, 2016",7:30 pm,Boston Celtics,111,Brooklyn Nets,92
"Wed, Nov 23, 2016",7:00 pm,San Antonio Spurs,119,Charlotte Hornets,114
"Wed, Nov 23, 2016",7:00 pm,Portland Trail Blazers,125,Cleveland Cavaliers,137
"Wed, Nov 23, 2016",8:30 pm,Los Angeles Clippers,124,Dallas Mavericks,104
"Wed, Nov 23, 2016",7:30 pm,Miami Heat,84,Detroit Pistons,107
"Wed, Nov 23, 2016",10:30 pm,Los Angeles Lakers,106,Golden State Warriors,149
"Wed, Nov 23, 2016",8:00 pm,Toronto Raptors,115,Houston Rockets,102
"Wed, Nov 23, 2016",7:00 pm,Atlanta Hawks,96,Indiana Pacers,85
"Wed, Nov 23, 2016",9:30 pm,Minnesota Timberwolves,96,New Orleans Pelicans,117
"Wed, Nov 23, 2016",7:00 pm,Phoenix Suns,92,Orlando Magic,87
"Wed, Nov 23, 2016",7:00 pm,Memphis Grizzlies,104,Philadelphia 76ers,99
"Wed, Nov 23, 2016",10:30 pm,Oklahoma City Thunder,101,Sacramento Kings,116
"Wed, Nov 23, 2016",9:00 pm,Denver Nuggets,83,Utah Jazz,108
"Fri, Nov 25, 2016",1:00 pm,San Antonio Spurs,109,Boston Celtics,103
"Fri, Nov 25, 2016",7:30 pm,Dallas Mavericks,90,Cleveland Cavaliers,128
"Fri, Nov 25, 2016",9:00 pm,Oklahoma City Thunder,132,Denver Nuggets,129
